50,1,1600,1850
1600,8.39015,855.52655,0.00000
1605,9.03334,921.11114,0.12800
1610,9.51867,970.59979,0.25300
1615,10.39647,1060.10681,0.38000
1620,11.08282,1130.09265,0.50800
1625,11.49143,1171.75781,0.63400
1630,12.76216,1301.33129,0.76200
1635,13.02406,1328.03735,0.89000
1640,13.96369,1423.84912,1.01700
1645,15.27220,1557.27514,1.14500
1650,15.45580,1575.99633,1.27400
1655,16.40982,1673.27600,1.40200
1660,17.64209,1798.92810,1.53000
1665,18.83197,1920.25744,1.65700
1670,19.57676,1996.20239,1.78500
1675,20.49145,2089.47143,1.91300
1680,21.03736,2145.13696,2.03900
1685,21.62369,2204.92431,2.16800
1690,21.85890,2228.90795,2.29700
1695,21.81995,2224.93652,2.42500
1700,22.27567,2271.40478,2.55300
1705,22.72873,2317.60229,2.68000
1710,22.58152,2302.59228,2.80800
1715,22.96427,2341.62011,2.93600
1720,24.03080,2450.37231,3.06200
1725,24.44024,2492.12182,3.19000
1730,24.48581,2496.76806,3.32000
1735,24.21360,2469.01123,3.44800
1740,25.16443,2565.96630,3.57600
1745,26.06009,2657.29492,3.70200
1750,26.64998,2717.44482,3.83000
1755,26.67647,2720.14575,3.96000
1760,26.29043,2680.78247,4.08800
1765,26.64517,2716.95361,4.21600
1770,27.85717,2840.53906,4.34200
1775,28.18744,2874.21630,4.47000
1780,28.79792,2936.46582,4.59800
1785,29.51203,3009.28173,4.72500
1790,29.56017,3014.19091,4.85300
1795,28.73202,2929.74633,4.98200
1800,28.77025,2933.64404,5.11000
1805,29.34888,2992.64575,5.23800
1810,31.06683,3167.82153,5.36500
1815,31.94999,3257.87548,5.49300
1820,33.00998,3365.96093,5.62100
1825,33.49776,3415.69873,5.74800
1830,33.80984,3447.52148,5.87600
1835,34.54921,3522.91357,6.00500
1840,33.06310,3371.37768,6.13300
1845,33.46254,3412.10791,6.26100
1850,33.29828,3395.35815,6.38800
