50,1,1600,1850
1600,8.57503,874.37878,0.00000
1605,9.16443,934.47814,0.12800
1610,9.74901,994.08660,0.25400
1615,10.79482,1100.72631,0.38200
1620,11.15769,1137.72729,0.50900
1625,12.45310,1269.81774,0.63700
1630,13.42962,1369.39086,0.76600
1635,13.87156,1414.45471,0.89400
1640,15.09149,1538.84838,1.02200
1645,15.70495,1601.40258,1.14900
1650,16.39194,1671.45312,1.27700
1655,17.51962,1786.44018,1.40500
1660,18.35929,1872.05932,1.53100
1665,19.60278,1998.85546,1.65900
1670,20.42182,2082.37182,1.78600
1675,20.85466,2126.50708,1.91400
1680,21.72966,2215.72924,2.04200
1685,21.92745,2235.89746,2.16900
1690,22.23599,2267.35888,2.29700
1695,22.27028,2270.85546,2.42500
1700,21.89989,2233.08789,2.55100
1705,22.62976,2307.51049,2.67900
1710,23.34496,2380.43872,2.80900
1715,24.31184,2479.02856,2.93700
1720,24.41046,2489.08544,3.06500
1725,25.70581,2621.16918,3.19100
1730,26.26320,2678.00537,3.31900
1735,26.46775,2698.86303,3.44900
1740,26.08040,2659.36596,3.57700
1745,25.69121,2619.68115,3.70500
1750,26.53354,2705.57177,3.83100
1755,27.79381,2834.07885,3.95900
1760,28.31606,2887.33129,4.08900
1765,28.82906,2939.64135,4.21700
1770,28.23551,2879.11816,4.34500
1775,29.22829,2980.34960,4.47100
1780,29.71363,3029.83886,4.59900
1785,28.96756,2953.76367,4.72900
1790,29.26871,2984.47143,4.85700
1795,29.93549,3052.46166,4.98500
1800,30.09105,3068.32373,5.11200
1805,31.10239,3171.44824,5.24000
1810,31.67662,3230.00048,5.36900
1815,31.80004,3242.58593,5.49700
1820,32.45831,3309.70825,5.62500
1825,33.66100,3432.34423,5.75200
1830,33.50598,3416.53759,5.88000
1835,34.04963,3471.97192,6.00900
1840,34.37377,3505.02416,6.13700
1845,33.93464,3460.24682,6.26500
1850,33.61812,3427.97192,6.39200
